api,method,path,is_authorized,authorization_type,specific_auth_type,authorizer_name
MS-Discounts-Public-PROD,POST,/customer/rewards/valid-cash-wallet,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/referral/remove,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/referral-info/{customerId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,PUT,/bo/campaigns/campaign-active,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,PUT,/external/promotion/add-mail/{promocode},NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/referral/double-check,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/referral,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/iuse/customers/{customerId}/referral-info,NO,NONE,NONE,
MS-Discounts-Public-PROD,DELETE,/bo/rewards/{rewardId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/admin/promotion,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/bo/dashboard-cx/promoter/missions/{customerId},YES,CUSTOM,CUSTOM (ADMIN),AdminLambda
MS-Discounts-Public-PROD,DELETE,/bo/rewards/mission/{missionId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/customer/referral/use,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2c/campaigns/referral,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,POST,/admin/promotion,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/promotion/check,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/bo/gamification-badge,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/b2c/missions/customer-referred/progress,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,POST,/customer/referral/notify,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2b/customers,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/admin/referral/referrer,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/external/referral/reassign,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/rewards,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/b2b/promotions/check,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS,Company
MS-Discounts-Public-PROD,POST,/admin/promotion/revert,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/promotion/check-b2b,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/referral/reward,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/bo/rewards,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/bo/gamification/search,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/rewards,NO,NONE,NONE,
MS-Discounts-Public-PROD,PATCH,/bo/campaigns/status/{campaignId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/customer/promotion/revert,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2c/customers,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/bo/campaigns,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/bo/campaign-types/{id},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/admin/promotion/{promotionId},YES,CUSTOM,CUSTOM (ADMIN),AdminLambda
MS-Discounts-Public-PROD,GET,/b2c/campaigns/promoter,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/bo/dashboard-cx/promoter,YES,CUSTOM,CUSTOM (ADMIN),AdminLambda
MS-Discounts-Public-PROD,POST,/bo/campaigns,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/b2c/campaigns/promoter/invitation-stats,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/bo/campaigns/{campaignId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/customer/referral/generate,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/admin/reward,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/webhooks/iterable/campaigns,YES,NONE,NONE,
MS-Discounts-Public-PROD,POST,/admin/referral/revert/cron,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2c/campaigns/{campaignId}/missions,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/b2c/missions/progress/{campaignId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/bo/campaign-types,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/customer/referral/revert,NO,NONE,NONE,
